image_path,label
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_10074.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_10131.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_10621.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1073.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_10976.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11140.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11238.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11258.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11337.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11477.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1152.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11696.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11818.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_11948.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1205.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_12101.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_12334.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1235.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1271.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_12718.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_1298.jpg,Chihuahua
C:\Users\Otavio Augusto\stanford_dogs\images\Images\n02085620-Chihuahua\n02085620_13151.jpg,Chihuahua
